>>>>
Dream
Software Version 1.6.1cvs
Starttime (UTC)  2008-11-09 18:00:20
Frequency        9950 kHz
Latitude                
Longitude               

MINUTE  SNR     SYNC    AUDIO     TYPE
  0000    3       59     0/10        0
  0001    3       41     0/10        0
  0002    4       83     0/10        0
  0003    4       47     0/10        0
  0004   13       49     0/10        0
  0005    3       25     0/10        0
  0006    7       75     0/10        0
  0007    3       76     0/10        0
  0008    9      119     0/10        0
  0009   13      146     0/10        0
  0010   15      149   677/10        0
  0011    9      114     0/10        0
  0012   11      133     0/10        0
  0013   12      137     0/10        0
  0014   14      149   336/10        0
  0015   11      118     0/10        0
  0016    0        0     0/00        0
  0017    0        0     0/00        0
  0018   12      111     0/10        0
  0019   14      149     0/10        0
  0020   14      149     0/10        0
  0021   14      150     0/10        0
  0022   14      141     1/10        0
  0023   17      150   296/10        0
  0024   17      150   541/10        0
  0025   15      150   317/10        0
  0026   18      150   900/10        0
  0027   17      150   466/10        0
  0028   11      120     1/10        0
  0029   14      149   107/10        0
  0030   15      151   118/10        0
  0031   16      149   390/10        0
  0032   17      150   869/10        0
  0033   17      150   341/10        0
  0034   17      150   460/10        0
  0035   16      150   419/10        0
  0036   14      150   229/10        0
  0037   16      149   296/10        0
  0038   16      142   432/10        0
  0039   15      146   549/10        0
  0040   10      131     0/10        0
  0041    9       90     0/10        0
  0042   12      144    98/10        0
  0043    7       86     0/10        0
  0044    8      135     0/10        0
  0045   10      134     0/10        0
  0046   12      134     0/10        0
  0047   12      134    14/10        0
  0048    7      110     0/10        0
  0049    8      112     0/10        0
  0050    9      131     0/10        0
  0051   11      143     0/10        0
  0052   11      127     0/10        0
  0053    9      117     0/10        0
  0054   10      134     0/10        0
  0055   10      130     0/10        0
  0056    9      127     0/10        0
  0057    8      113     0/10        0
  0058    8      124     0/10        0
  0059    8      113     0/10        0
  0060    8      121     0/10        0
  0061    8      115     0/10        0
  0062    9      131     0/10        0
  0063    8      124     0/10        0
  0064    8      134     0/10        0
  0065    7       96     0/10        0
  0066   10      139     0/10        0
  0067    9      128     0/10        0
  0068    9      127     0/10        0
  0069    9      136     0/10        0
  0070    9      132     0/10        0
  0071   10      132     0/10        0
  0072    8      132     0/10        0
  0073   10      138     0/10        0
  0074   11      139     0/10        0
  0075   10      143     0/10        0
  0076   11      142     0/10        0
  0077   10      129     0/10        0
  0078    8      132     0/10        0
  0079    8      117     0/10        0
  0080    8      129     0/10        0
  0081    9      134     0/10        0
  0082   10      134     0/10        0
  0083   13      140     0/10        0
  0084   15      148     5/10        0
  0085   14      147    66/10        0
  0086   15      145   332/10        0
  0087   18      149   715/10        0
  0088   18      150  1046/10        0
  0089   19      149  1287/10        0
  0090   19      150  1453/10        0
  0091   20      150  1499/10        0
  0092   20      150  1324/10        0
  0093   18      147  1386/10        0
  0094   19      150  1499/10        0
  0095   20      150  1495/10        0
  0096   21      150  1500/10        0
  0097   20      150  1296/10        0
  0098   20      150  1238/10        0
  0099   21      150  1500/10        0
  0100   21      150  1416/10        0
  0101   20      150  1412/10        0
  0102   20      150  1428/10        0
  0103   20      450  4119/10        0
  0104   20      150  1349/10        0
  0105   19      150  1436/10        0
  0106   20      150  1500/10        0
  0107   20      149  1352/10        0
  0108   19      150  1424/10        0
  0109   19      150  1402/10        0
  0110   20      150  1003/10        0
  0111   20      150  1494/10        0
  0112   19      150  1338/10        0
  0113   20      150  1472/10        0
  0114   19      150  1207/10        0
  0115   19      150  1328/10        0
  0116   19      150  1446/10        0
  0117   19      150  1319/10        0
  0118   19      150  1357/10        0
  0119   19      150  1393/10        0
  0120   18      150  1109/10        0
  0121   19      150  1468/10        0
  0122   20      150  1483/10        0
  0123   20      150  1482/10        0
  0124   21      150  1496/10        0
  0125   21      150  1499/10        0
  0126   20      150  1407/10        0
  0127   20      150  1396/10        0
  0128   20      150  1495/10        0
  0129   21      150  1499/10        0
  0130   21      150  1409/10        0
  0131   20      150  1491/10        0
  0132   21      150  1500/10        0
  0133   21      150  1498/10        0
  0134   21      150  1497/10        0
  0135   21      150  1499/10        0
  0136   20      150  1488/10        0
  0137   21      150  1485/10        0
  0138   21      150  1499/10        0
  0139   21      150  1500/10        0
  0140   21      150  1445/10        0
  0141   21      150  1497/10        0
  0142   19      148   857/10        0
  0143   14      146    10/10        0
  0144   13      141     0/10        0
  0145   12      145     0/10        0
  0146   12      139     0/10        0
  0147   10      138     0/10        0
  0148   10      125     0/10        0
  0149    8      110     0/10        0
  0150    9      117     0/10        0
  0151    7      108     0/10        0
  0152    6       84     0/10        0
  0153    6       83     0/10        0
  0154    6       82     0/10        0
  0155    4       27     0/10        0
  0156    4       45     0/10        0
  0157    0        2     0/00        0
  0158    3        5     0/00        0
  0159    4       17     0/10        0
  0160    3       41     0/10        0
  0161    4       10     0/00        0
  0162    0        2     0/00        0
  0163    0        0     0/00        0
  0164    0        0     0/00        0
  0165    0        0     0/00        0
  0166    0        0     0/00        0
  0167    2       11     0/00        0
  0168    3       14     0/00        0
  0169    2       20     0/10        0
  0170    2        8     0/00        0
  0171    3       12     0/00        0
  0172    3       11     0/00        0
  0173    3       20     0/10        0
  0174    4        7     0/00        0
  0175    3       27     0/10        0
  0176    2        6     0/00        0
  0177    2        4     0/00        0
  0178    4       19     0/10        0

SNR min:  0.6, max: 21.7

CRC: 
<<<<

