

>>>>
Dream
Software Version 1.6.1cvs
Starttime (UTC)  2008-06-05 18:30:07
Frequency        17640 kHz
Latitude                
Longitude               
Label            CVC
Bitrate          18.46 kbps
Mode             A
Bandwidth        10 kHz

MINUTE  SNR     SYNC    AUDIO     TYPE
  0000    8      143     0/10        0
  0001    9      146     0/10        0
  0002    8      141     0/10        0
  0003   10      148     0/10        0
  0004    9      143     0/10        0
  0005   11      148     0/10        0
  0006   10      147     0/10        0
  0007   10      149     0/10        0
  0008   11      150     0/10        0
  0009   11      148     0/10        0
  0010   12      150     0/10        0
  0011   12      149     0/10        0
  0012   12      150     2/10        0
  0013   10      148     0/10        0
  0014   10      149     0/10        0
  0015   10      148     0/10        0
  0016   10      148     0/10        0
  0017   11      150     1/10        0
  0018   11      149    12/10        0
  0019    9      119     0/10        0
  0020    5      105     0/10        0
  0021    3      113     0/10        0
  0022    8       81     0/10        0
  0023    6       68     0/10        0
  0024    6       61     0/10        0
  0025   11      133     0/10        0
  0026   13      149   124/10        0
  0027   12      149   165/10        0
  0028   11      150   331/10        0
  0029   12      148   342/10        0

SNR min:  0.1, max: 13.9

CRC: 
<<<<

